,HomeTeam,AwayTeam,HomeMax4thLead,RoadMax4thLead,HomeWinMargin
828,MIA,IND,2,4,8
829,NY,TOR,-12,27,-27
830,ATL,GS,3,12,-10
831,MIL,LAL,27,-7,7
832,MIN,BOS,13,-1,2
833,LAC,PHX,43,-28,40
834,PHI,ORL,-6,13,-9
835,WSH,NO,23,-16,20
836,DEN,SAC,1,14,-4
837,UTAH,HOU,6,4,3
838,POR,BKN,8,3,8
839,CLE,CHA,24,-11,11
840,IND,NY,4,5,3
841,DET,PHI,29,-19,20
842,MIA,GS,3,6,-6
843,TOR,MIN,9,0,9
844,CHI,WSH,11,-3,5
845,MEM,LAL,19,-9,9
846,DAL,OKC,-6,21,-13
847,LAC,DEN,-2,13,-6
848,SAC,SA,-6,19,-16
849,ORL,GS,-9,16,-16
850,BOS,MIL,15,-4,5
851,NO,OKC,10,-2,4
852,PHX,BKN,-10,25,-10
853,POR,HOU,5,14,-14
854,UTAH,SA,-5,19,-18
855,IND,CHA,1,8,-1
856,PHI,WSH,-4,10,-9
857,NY,ORL,20,-13,13
858,TOR,CLE,2,9,2
859,ATL,CHI,18,-10,15
860,DAL,DEN,0,14,6
861,SAC,LAC,-10,20,-10
862,LAL,MEM,-17,29,-17
863,BOS,MIA,12,2,12
864,NO,MIN,10,2,-2
865,CHI,POR,-4,10,-8
866,HOU,SA,-10,19,-10
867,MIL,DET,-8,17,-11
868,OKC,GS,11,0,-3
869,PHX,MEM,11,-1,5
870,UTAH,BKN,-1,13,-2
871,WSH,CLE,29,-14,14
872,ATL,CHA,13,-2,11
873,DET,TOR,26,-11,13
874,IND,POR,-9,21,-9
875,ORL,PHI,23,-8,14
876,DAL,MIN,31,-23,27
877,NY,MIA,-4,19,-17
878,CLE,IND,4,5,4
879,WSH,PHI,9,7,8
880,BOS,UTAH,5,4,5
881,MIL,HOU,13,1,7
882,DEN,MEM,2,7,-7
883,SAC,OKC,-7,23,-15
884,LAC,BKN,11,-2,10
885,CHA,PHX,42,-34,34
886,MIA,CHI,22,-6,18
887,NY,POR,-13,21,-19
888,DAL,ORL,21,-13,13
889,GS,ATL,8,3,4
890,LAL,BKN,9,-3,6
891,ORL,CHI,21,-13,13
892,PHI,CHA,-9,21,-20
893,BOS,POR,28,-21,23
894,TOR,UTAH,11,-4,10
895,HOU,NO,5,6,5
896,MEM,SAC,6,3,6
897,MIL,IND,-3,11,-5
898,MIN,WSH,-6,14,-6
899,SA,DET,16,-9,16
900,DEN,LAL,10,3,10
901,LAC,OKC,5,17,5
902,MIA,PHX,18,-10,16
903,NO,SA,7,8,-8
904,DAL,SAC,-3,14,-3
905,GS,OKC,15,1,15
906,CHA,IND,11,0,7
907,ORL,PHX,-13,18,-18
908,PHI,MIA,-5,18,-10
909,BOS,NY,1,8,1
910,TOR,POR,15,-1,2
911,CLE,WSH,30,-21,25
912,MEM,UTAH,8,5,6
913,MIL,MIN,17,-7,15
914,DEN,BKN,3,5,-1
915,LAL,ATL,-12,31,-29
916,CLE,BOS,17,-9,17
917,NY,DET,19,-4,13
918,WSH,IND,3,4,-1
919,NO,UTAH,-9,18,-12
920,MIN,BKN,18,-8,14
921,CHI,HOU,18,-4,8
922,SA,SAC,19,-8,10
923,LAC,ATL,6,12,-10
924,MIL,OKC,-4,14,-8
925,LAL,GS,23,-11,17
926,MEM,PHX,-6,13,-9
927,DEN,DAL,1,9,2
928,DET,POR,23,-10,20
929,MIA,PHI,8,6,5
930,TOR,HOU,8,7,-6
931,CHA,MIN,15,-3,5
932,CLE,MEM,1,10,-3
933,IND,SA,16,-3,8
934,CHI,MIL,10,-2,10
935,NO,SAC,3,9,3
936,DAL,LAC,-16,30,-19
937,GS,ORL,17,-2,6
938,TOR,BKN,14,2,5
939,MIN,SA,-19,26,-25
940,DEN,NY,16,-7,16
941,UTAH,ATL,-5,12,-7
942,POR,WSH,7,2,7
943,LAL,ORL,15,-5,9
