,HomeTeam,AwayTeam,HomeMax4thLead,RoadMax4thLead,HomeWinMargin
203,MIN,PHI,7,6,5
204,SA,PHX,17,-7,14
205,UTAH,OKC,-22,31,-22
206,WSH,IND,-10,17,-17
207,ATL,BOS,27,-6,24
208,MEM,DAL,25,-10,14
209,DEN,LAC,-8,18,-17
210,POR,CHI,0,11,-5
211,GS,LAL,41,-32,34
212,CHA,WSH,14,9,14
213,ORL,NY,15,-6,9
214,BOS,PHI,4,11,4
215,DET,MIA,28,-19,23
216,TOR,CLE,10,2,4
217,HOU,MEM,-3,11,-9
218,MIL,SAC,-1,12,-11
219,MIN,ATL,6,4,4
220,OKC,BKN,15,0,11
221,SA,DAL,6,-1,5
222,PHX,NO,1,6,-6
223,LAC,UTAH,-5,17,-11
224,CHA,CLE,7,5,-5
225,ORL,MIL,27,-21,24
226,BOS,WSH,38,-21,33
227,NY,MIA,-9,20,-19
228,IND,CHI,16,-8,12
229,HOU,PHI,9,7,2
230,MEM,ATL,0,16,-15
231,OKC,DET,16,-5,16
232,DEN,SA,-11,19,-11
233,PHX,GS,-18,25,-19
234,SAC,MIN,-5,13,-10
235,LAC,NO,25,-18,21
236,WSH,TOR,8,2,-2
237,CLE,BKN,7,4,2
238,DAL,DEN,19,-11,11
239,SA,ATL,29,-20,20
240,UTAH,NO,21,-6,14
241,POR,LAL,14,-8,12
242,GS,SAC,31,-18,19
243,CHA,MIL,7,-2,5
244,LAC,MIN,13,-6,8
245,BKN,DET,5,8,4
246,ORL,BOS,21,-12,19
247,TOR,PHX,1,9,-5
248,MEM,PHI,10,5,8
249,NY,HOU,13,0,-5
250,LAL,IND,-1,13,-4
251,DET,HOU,13,-4,11
252,MIA,BOS,-2,11,-10
253,ATL,OKC,9,2,6
254,CHI,SA,6,3,3
255,MIL,DEN,22,-7,18
256,UTAH,GS,3,6,-3
257,SAC,DAL,16,-4,14
258,LAC,POR,17,-7,15
259,CLE,WSH,-10,19,-12
260,PHI,LAL,14,-5,12
261,BKN,PHX,5,9,3
262,MIN,ORL,0,9,-3
263,NO,MEM,-5,11,-9
264,POR,DAL,8,4,-3
265,CHA,GS,-14,26,-17
266,WSH,LAL,4,4,-4
267,DET,PHX,3,14,5
268,NY,PHI,23,-12,12
269,ATL,TOR,9,10,-10
270,CHI,DEN,9,4,9
271,HOU,NO,9,1,7
272,SA,MIL,29,-21,25
273,LAC,IND,-3,16,-12
274,MIA,OKC,2,3,2
275,TOR,DEN,-1,11,-1
276,UTAH,ORL,1,9,-9
277,MEM,SA,-16,23,-20
278,POR,IND,12,-2,12
279,SAC,BOS,-14,24,-17
280,NY,BKN,23,-17,17
281,WSH,PHX,3,8,3
282,DET,MIL,13,-5,7
283,ATL,LAL,15,-4,13
284,DAL,HOU,2,4,-4
285,NO,CLE,13,3,6
286,PHI,DEN,9,6,-3
287,TOR,GS,3,5,-3
288,MIA,CLE,27,-13,15
289,CHI,CHA,5,7,-6
290,HOU,SAC,7,3,7
291,MIN,POR,0,7,-6
292,MIL,NY,17,-9,15
293,SA,BOS,15,-1,3
294,UTAH,IND,2,5,3
295,LAC,ORL,3,11,2
296,MEM,PHX,5,2,2
297,BKN,GS,-6,20,-16
298,DET,LAL,29,-15,20
299,WSH,DAL,-3,13,-12
300,OKC,SAC,13,6,3
301,CHA,DET,22,-13,20
302,PHI,SA,-41,51,-51
303,MIA,WSH,0,11,-11
304,NY,DAL,-4,20,-7
305,TOR,LAL,11,0,9
306,CHI,PHX,16,2,-2
307,MIL,POR,4,6,2
308,MIN,LAC,6,4,-4
309,NO,BOS,-11,22,-18
310,CLE,POR,11,-2,5
311,IND,GS,-6,28,-8
312,BKN,HOU,10,-3,5
313,MEM,OKC,-31,38,-37
314,DEN,ORL,3,11,-11
315,SAC,UTAH,12,-2,8
316,BOS,CHI,10,0,5
317,CHA,MIA,30,-17,18
318,WSH,HOU,6,8,-6
319,DET,MEM,7,1,-1
320,TOR,SA,12,-3,3
321,MIL,LAC,-5,14,-14
322,MIN,LAL,6,5,1
323,PHX,ORL,11,0,3
324,UTAH,NY,29,-21,21
325,DAL,ATL,4,6,-3
326,BKN,PHI,10,2,9
327,CHI,LAC,12,0,3
328,OKC,ATL,15,-6,13
329,SAC,NY,11,-2,2
330,IND,MIA,13,-6,13
331,ORL,CLE,-30,40,-35
332,PHI,DET,-12,26,-12
333,BOS,GS,5,7,-5
